DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
5.000000,665.000000,SAN PEDRO DE URABÁ,2011.000000,5.000000,8.278064307,-76.38256213,5665.000000,5665.000000,19259.000000,11712.000000,8179.000000,39150.000000
5.000000,674.000000,SAN VICENTE,2011.000000,5.000000,6.281540108,-75.3320598,5674.000000,5674.000000,5743.000000,882.000000,2538.000000,9163.000000
5.000000,501.000000,OLAYA,2011.000000,5.000000,6.627819406,-75.81290372,5501.000000,5501.000000,385.000000,171.000000,15.000000,571.000000
5.000000,541.000000,PEÑOL,2011.000000,5.000000,6.221683183,-75.21237225,5541.000000,5541.000000,3335.000000,1268.000000,2091.000000,6694.000000
5.000000,543.000000,PEQUE,2011.000000,5.000000,7.022099872,-75.90867121,5543.000000,5543.000000,6270.000000,354.000000,9592.000000,16216.000000
5.000000,585.000000,PUERTO NARE,2011.000000,5.000000,6.187705467,-74.58304149,5585.000000,5585.000000,2158.000000,2483.000000,187.000000,4828.000000
5.000000,400.000000,LA UNIÓN,2011.000000,5.000000,5.974351772,-75.36057471,5400.000000,5400.000000,3346.000000,3829.000000,4722.000000,11897.000000
5.000000,411.000000,LIBORINA,2011.000000,5.000000,6.677832604,-75.8121653,5411.000000,5411.000000,2727.000000,454.000000,2699.000000,5880.000000
5.000000,425.000000,MACEO,2011.000000,5.000000,6.553465538,-74.78790207,5425.000000,5425.000000,2065.000000,801.000000,308.000000,3174.000000
5.000000,475.000000,MURINDÓ,2011.000000,5.000000,6.976967167,-76.81998652,5475.000000,5475.000000,1476.000000,3166.000000,1676.000000,6318.000000
5.000000,480.000000,MUTATÁ,2011.000000,5.000000,7.243963173,-76.4367047,5480.000000,5480.000000,26947.000000,12516.000000,14549.000000,54012.000000
5.000000,483.000000,NARIÑO,2011.000000,5.000000,5.610995522,-75.17492129,5483.000000,5483.000000,13782.000000,1286.000000,6129.000000,21197.000000
5.000000,495.000000,NECHÍ,2011.000000,5.000000,8.088078176,-74.77679927,5495.000000,5495.000000,8178.000000,3673.000000,3512.000000,15363.000000
5.000000,576.000000,PUEBLORRICO,2011.000000,5.000000,5.793416085,-75.84057784,5576.000000,5576.000000,1224.000000,169.000000,95.000000,1488.000000
