type,properties/OD_Pair,properties/OrgLat,properties/OrgLon,properties/DestLat,properties/DestLon,properties/Count,properties/Origin,properties/Dest,properties/OrgMun,properties/DestMun,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1
Feature,47053-47001,10.590848,-74.186293,11.225703,-74.188397,8214,47053,47001,ARACATACA,SANTA MARTA,LineString,-74.1862929436999,10.5908482677,-74.1883970494999,11.2257031418
Feature,5172-5001,7.666156,-76.681565,6.248941,-75.577056,8204,5172,5001,CHIGORODÓ,MEDELLÍN,LineString,-76.6815647245,7.6661564496,-75.5770556256999,6.24894080931
Feature,25394-11001,5.358965,-74.390911,4.650528,-74.105972,8188,25394,11001,LA PALMA,"BOGOTÁ, D.C.",LineString,-74.3909112773,5.35896522527,-74.105971599,4.65052840264
Feature,73616-11001,3.530214,-75.644684,4.650528,-74.105972,7879,73616,11001,RIOBLANCO,"BOGOTÁ, D.C.",LineString,-75.6446841365,3.53021377745,-74.105971599,4.65052840264
Feature,52835-11001,1.761334,-78.781544,4.650528,-74.105972,7849,52835,11001,TUMACO,"BOGOTÁ, D.C.",LineString,-78.7815440444999,1.76133367771,-74.105971599,4.65052840264
Feature,13458-13430,8.29332,-74.475802,9.241367,-74.755668,7701,13458,13430,MONTECRISTO,MAGANGUÉ,LineString,-74.4758024507,8.29331961005,-74.7556678557999,9.24136746688
Feature,18860-18001,1.197615,-75.705366,1.617334,-75.60689,7635,18860,18001,VALPARAÍSO,FLORENCIA,LineString,-75.7053662849999,1.19761525181,-75.6068902091,1.61733394988
Feature,5197-5001,6.057889,-75.185613,6.248941,-75.577056,7610,5197,5001,COCORNÁ,MEDELLÍN,LineString,-75.1856126096,6.0578887963,-75.5770556256999,6.24894080931
Feature,19397-19001,2.004638,-76.781504,2.447699,-76.624469,7606,19397,19001,LA VEGA,POPAYÁN,LineString,-76.7815037392,2.00463839066,-76.62446903320001,2.4476985537
Feature,52250-76001,2.476974,-78.110298,3.417587,-76.522332,7596,52250,76001,EL CHARCO,SANTIAGO DE CALI,LineString,-78.1102980565,2.47697407881,-76.5223324663,3.417586541
Feature,5660-5001,6.042865,-74.994392,6.248941,-75.577056,7568,5660,5001,SAN LUIS,MEDELLÍN,LineString,-74.9943922309,6.04286525408,-75.5770556256999,6.24894080931
Feature,47551-47288,10.461344,-74.615396,10.514851,-74.191555,7540,47551,47288,PIVIJAY,FUNDACIÓN,LineString,-74.6153957047,10.4613440093999,-74.1915550126999,10.514851197900002
Feature,18753-18001,2.113418,-74.77196,1.617334,-75.60689,7472,18753,18001,SAN VICENTE DEL CAGUÁN,FLORENCIA,LineString,-74.7719596917,2.11341773815,-75.6068902091,1.61733394988
Feature,73616-73001,3.530214,-75.644684,4.439631,-75.19635,7397,73616,73001,RIOBLANCO,IBAGUÉ,LineString,-75.6446841365,3.53021377745,-75.1963501464999,4.43963072518
Feature,13244-8001,9.718034,-75.121139,10.979459,-74.816835,7254,13244,8001,EL CARMEN DE BOLÍVAR,BARRANQUILLA,LineString,-75.1211388326999,9.71803422097,-74.8168347868,10.9794593386
Feature,18001-11001,1.617334,-75.60689,4.650528,-74.105972,7222,18001,11001,FLORENCIA,"BOGOTÁ, D.C.",LineString,-75.6068902091,1.61733394988,-74.105971599,4.65052840264
Feature,44090-44001,11.271254,-73.307237,11.529125,-72.912271,7219,44090,44001,DIBULLA,RIOHACHA,LineString,-73.3072366875999,11.2712541239,-72.9122712548,11.5291254274
Feature,5483-5001,5.610996,-75.174921,6.248941,-75.577056,7151,5483,5001,NARIÑO,MEDELLÍN,LineString,-75.1749212943,5.61099552188,-75.5770556256999,6.24894080931
Feature,5837-5172,8.094097,-76.726432,7.666156,-76.681565,7121,5837,5172,TURBO,CHIGORODÓ,LineString,-76.7264318309999,8.09409673761,-76.6815647245,7.6661564496
Feature,18592-18001,1.910181,-75.157857,1.617334,-75.60689,7023,18592,18001,PUERTO RICO,FLORENCIA,LineString,-75.1578569902,1.91018145606,-75.6068902091,1.61733394988
Feature,27025-27001,5.516137,-76.974637,5.692349,-76.651125,6959,27025,27001,PIE DE PATO,SAN FRANCISCO DE QUIBDO,LineString,-76.9746369542999,5.51613684806,-76.6511246326,5.69234946496
Feature,5665-23001,8.278064,-76.382562,8.746423,-75.876635,6892,5665,23001,SAN PEDRO DE URABÁ,MONTERÍA,LineString,-76.3825621281999,8.27806430725999,-75.8766346495,8.74642258289999
Feature,18756-18001,0.699161,-75.253344,1.617334,-75.60689,6802,18756,18001,SOLANO,FLORENCIA,LineString,-75.2533438974,0.699161193491,-75.6068902091,1.61733394988
Feature,50590-50001,2.941649,-73.207486,4.122958,-73.626878,6787,50590,50001,PUERTO RICO,VILLAVICENCIO,LineString,-73.2074860066,2.94164927569,-73.626877897,4.12295758045
Feature,52835-52001,1.761334,-78.781544,1.212839,-77.278125,6760,52835,52001,TUMACO,SAN JUAN DE PASTO,LineString,-78.7815440444999,1.76133367771,-77.2781249941999,1.21283942448
Feature,86571-18001,0.963536,-76.408022,1.617334,-75.60689,6737,86571,18001,PUERTO GUZMÁN,FLORENCIA,LineString,-76.408021749,0.963535947743,-75.6068902091,1.61733394988
Feature,86571-86001,0.963536,-76.408022,1.151519,-76.650874,6723,86571,86001,PUERTO GUZMÁN,MOCOA,LineString,-76.408021749,0.963535947743,-76.6508743094999,1.15151944879
Feature,5480-5001,7.243963,-76.436705,6.248941,-75.577056,6624,5480,5001,MUTATÁ,MEDELLÍN,LineString,-76.4367046954999,7.24396317282,-75.5770556256999,6.24894080931
Feature,54800-54498,8.437234,-73.286985,8.246666,-73.355196,6594,54800,54498,TEORAMA,OCAÑA,LineString,-73.2869854333,8.43723373421999,-73.3551957157999,8.24666636475
Feature,5001-5088,6.248941,-75.577056,6.333786,-75.554448,6486,5001,5088,MEDELLÍN,BELLO,LineString,-75.5770556256999,6.24894080931,-75.5544475762,6.33378556234
Feature,95001-50001,2.567205,-72.63969,4.122958,-73.626878,6399,95001,50001,SAN JOSÉ DEL GUAVIARE,VILLAVICENCIO,LineString,-72.6396901373999,2.56720535915,-73.626877897,4.12295758045
Feature,54720-54001,8.084234,-72.800061,7.905267,-72.505591,6377,54720,54001,SARDINATA,CÚCUTA,LineString,-72.8000611214999,8.08423365811,-72.5055909658999,7.905267116589999
Feature,18610-18001,1.331726,-75.973662,1.617334,-75.60689,6312,18610,18001,SAN JOSÉ DEL FRAGUA,FLORENCIA,LineString,-75.9736618541,1.33172583838,-75.6068902091,1.61733394988
Feature,27615-5172,7.433383,-77.11111,7.666156,-76.681565,6233,27615,5172,RIOSUCIO,CHIGORODÓ,LineString,-77.111109838,7.43338275367,-76.6815647245,7.6661564496
Feature,81794-81736,6.457692,-71.740613,6.953878,-71.873949,6175,81794,81736,TAME,SARAVENA,LineString,-71.7406131925999,6.45769174666,-71.8739494778999,6.95387794055
Feature,5490-5001,8.426025,-76.787621,6.248941,-75.577056,6055,5490,5001,NECOCLÍ,MEDELLÍN,LineString,-76.7876212535,8.42602528083999,-75.5770556256999,6.24894080931
Feature,5313-76001,6.141374,-75.187973,3.417587,-76.522332,6022,5313,76001,GRANADA,SANTIAGO DE CALI,LineString,-75.1879726737,6.1413743323,-76.5223324663,3.417586541
Feature,18753-11001,2.113418,-74.77196,4.650528,-74.105972,6012,18753,11001,SAN VICENTE DEL CAGUÁN,"BOGOTÁ, D.C.",LineString,-74.7719596917,2.11341773815,-74.105971599,4.65052840264
