Origin_ID;Origin_NAME;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_LAT;Destin_LNG;Count;;;;;
41206;COLOMBIA;3.376525;-74.802895;41001;NEIVA;2.935546;-75.277946;4089;;;;;
13600;RÍO VIEJO;8.589185;-73.837674;13490;NOROSÍ;8.527713;-74.037523;4080;;;;;
5490;NECOCLÍ;8.426025;-76.787621;5045;APARTADÓ;7.882717;-76.626186;3979;;;;;
23090;CANALETE URBANO;8.787601;-76.240753;23001;MONTERÍA;8.746423;-75.876635;3902;;;;;
73555;PLANADAS;3.197021;-75.643784;73001;IBAGUÉ;4.439631;-75.19635;3865;;;;;
52079;BARBACOAS;1.673572;-78.138261;52001;SAN JUAN DE PASTO;1.212839;-77.278125;3789;;;;;
5147;CAREPA;7.755117;-76.654051;5001;MEDELLÍN;6.248941;-75.577056;3775;;;;;
47551;PIVIJAY;10.461344;-74.615396;8001;BARRANQUILLA;10.979459;-74.816835;3741;;;;;
20001;VALLEDUPAR;10.461893;-73.258517;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3700;;;;;
27615;RIOSUCIO;7.433383;-77.11111;5490;NECOCLÍ;8.426025;-76.787621;3686;;;;;
23807;TIERRALTA;8.172247;-76.062317;5172;CHIGORODÓ;7.666156;-76.681565;3600;;;;;
20001;VALLEDUPAR;10.461893;-73.258517;47001;SANTA MARTA;11.225703;-74.188397;3597;;;;;
47980;PRADO - SEVILLA;10.763895;-74.139233;47189;CIÉNAGA;11.007433;-74.241368;3583;;;;;
20238;EL COPEY;10.149132;-73.96137;20001;VALLEDUPAR;10.461893;-73.258517;3583;;;;;
5659;SAN JUAN DE URABÁ;8.759491;-76.52889;5837;TURBO;8.094097;-76.726432;3583;;;;;
5040;ANORÍ;7.078008;-75.1484;5001;MEDELLÍN;6.248941;-75.577056;3557;;;;;
5490;NECOCLÍ;8.426025;-76.787621;5837;TURBO;8.094097;-76.726432;3553;;;;;
50350;LA MACARENA;2.183629;-73.786466;50001;VILLAVICENCIO;4.122958;-73.626878;3550;;;;;
86569;PUERTO CAICEDO;0.685064;-76.604518;86001;MOCOA;1.151519;-76.650874;3545;;;;;
86757;SAN MIGUEL;0.273017;-76.845343;52001;SAN JUAN DE PASTO;1.212839;-77.278125;3517;;;;;
23466;MONTELÍBANO;7.977922;-75.418484;23580;PUERTO LIBERTADOR;7.889279;-75.672022;3515;;;;;
68081;BARRANCABERMEJA;7.067976;-73.846686;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3514;;;;;
86568;PUERTO ASÍS;0.504219;-76.497837;52001;SAN JUAN DE PASTO;1.212839;-77.278125;3499;;;;;
86865;LA HORMIGA;0.423385;-76.904734;52215;CÓRDOBA;0.853666;-77.518069;3494;;;;;
13212;CÓRDOBA;9.586623;-74.827507;70001;SINCELEJO;9.300455;-75.395996;3493;;;;;
13244;EL CARMEN DE BOLÍVAR;9.718034;-75.121139;8758;SOLEDAD;10.90618;-74.793567;3473;;;;;
70678;SAN BENITO ABAD;8.929924;-75.031369;70001;SINCELEJO;9.300455;-75.395996;3450;;;;;
23807;TIERRALTA;8.172247;-76.062317;70001;SINCELEJO;9.300455;-75.395996;3441;;;;;
5756;SONSÓN;5.712788;-75.310302;5001;MEDELLÍN;6.248941;-75.577056;3409;;;;;
50711;VISTAHERMOSA;3.127717;-73.751279;50313;GRANADA;3.544871;-73.706271;3409;;;;;
5652;SAN FRANCISCO;5.964172;-75.101853;5001;MEDELLÍN;6.248941;-75.577056;3393;;;;;
20228;CURUMANÍ;9.201044;-73.541775;20001;VALLEDUPAR;10.461893;-73.258517;3391;;;;;
68655;SABANA DE TORRES;7.39278;-73.4979;68001;BUCARAMANGA;7.115901;-73.132537;3378;;;;;
73168;CHAPARRAL;3.725761;-75.483582;73001;IBAGUÉ;4.439631;-75.19635;3375;;;;;
54206;CONVENCIÓN;8.469995;-73.337195;54001;CÚCUTA;7.905267;-72.505591;3373;;;;;
18094;BELÉN DE LOS ANDAQUÍES;1.420263;-75.871503;18001;FLORENCIA;1.617334;-75.60689;3345;;;;;
81065;ARAUQUITA;7.029314;-71.42764;81001;ARAUCA;7.077995;-70.761888;3344;;;;;
41020;ALGECIRAS;2.522556;-75.315695;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3337;;;;;
5250;EL BAGRE;7.592955;-74.80471;5154;CAUCASIA;7.97776;-75.198514;3323;;;;;
81794;TAME;6.457692;-71.740613;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3315;;;;;
17662;SAMANÁ;5.413074;-74.99238;17001;MANIZALES;5.056447;-75.490037;3308;;;;;
54001;CÚCUTA;7.905267;-72.505591;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3297;;;;;
25878;VIOTÁ;4.440502;-74.522956;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3292;;;;;
50330;MESETAS;3.382246;-74.044366;11001;BOGOTÁ, D.C.;4.650528;-74.105972;3289;;;;;
